attendance,internal_marks,assignment_marks,study_hours,previous_marks,performance
47,34,47,1,45,At Risk
53,41,33,1,30,At Risk
56,47,46,2,45,At Risk
93,84,84,5,100,Good
88,79,96,6,99,Good
84,98,79,7,83,Good
51,35,49,1,43,At Risk
91,87,81,7,86,Good
77,69,58,4,72,Average
68,56,56,3,50,Average
63,59,62,4,62,Average
68,51,69,3,58,Average
96,81,82,8,82,Good
78,50,56,4,72,Average
57,45,46,2,33,At Risk
45,46,48,1,45,At Risk
65,60,51,3,61,Average
67,59,67,5,50,Average
41,45,31,1,31,At Risk
76,71,74,4,55,Average
100,99,79,10,88,Good
87,88,88,7,95,Good
48,37,43,2,30,At Risk
56,36,34,1,37,At Risk
82,87,78,5,88,Good
62,66,61,5,66,Average
51,40,35,2,47,At Risk
47,35,38,2,37,At Risk
56,34,44,2,48,At Risk
47,30,31,1,42,At Risk
65,65,62,4,56,Average
76,58,52,3,63,Average
93,91,76,6,80,Good
74,54,57,3,71,Average
71,61,55,5,69,Average
87,79,100,8,83,Good
87,81,80,5,99,Good
48,44,40,2,34,At Risk
69,71,73,5,58,Average
57,43,37,2,32,At Risk
77,72,65,5,68,Average
96,93,98,10,90,Good
100,88,78,9,92,Good
55,35,36,1,41,At Risk
40,36,45,2,43,At Risk
62,56,59,3,50,Average
88,80,78,10,78,Good
61,66,57,5,50,Average
69,59,64,4,74,Average
95,90,88,6,84,Good
99,77,92,8,96,Good
93,89,86,6,92,Good
98,77,94,6,88,Good
49,48,30,1,40,At Risk
43,44,33,1,32,At Risk
92,76,87,10,76,Good
44,42,31,1,46,At Risk
71,60,60,3,66,Average
45,42,45,1,36,At Risk
75,54,58,3,62,Average
53,48,43,2,43,At Risk
100,80,83,10,99,Good
43,30,41,1,45,At Risk
42,39,30,2,43,At Risk
62,53,68,5,59,Average
50,32,31,1,37,At Risk
50,43,39,2,32,At Risk
59,36,35,2,30,At Risk
65,58,63,3,62,Average
97,88,96,9,97,Good
43,43,47,1,39,At Risk
65,59,57,5,66,Average
57,44,49,2,36,At Risk
99,78,90,7,84,Good
73,70,53,3,67,Average
73,53,61,3,67,Average
68,59,58,3,58,Average
81,85,78,9,100,Good
62,63,69,3,57,Average
79,67,72,3,72,Average
60,70,62,5,65,Average
85,93,100,10,78,Good
59,45,45,2,36,At Risk
68,52,65,5,57,Average
82,78,100,6,97,Good
53,43,49,1,31,At Risk
54,40,38,1,41,At Risk
100,97,97,6,81,Good
81,86,88,5,89,Good
97,89,100,9,92,Good
63,59,71,3,52,Average
61,50,71,4,58,Average
82,77,91,7,95,Good
52,44,34,1,43,At Risk
64,74,51,4,55,Average
60,58,63,3,54,Average
53,49,49,2,46,At Risk
64,57,74,5,55,Average
92,76,91,7,92,Good
74,60,58,3,56,Average
58,47,34,2,30,At Risk
86,89,75,9,81,Good
96,77,80,7,91,Good
69,55,52,5,70,Average
57,34,49,2,30,At Risk
50,44,32,1,34,At Risk
55,44,37,1,42,At Risk
50,33,48,2,43,At Risk
94,86,88,6,100,Good
46,48,43,2,38,At Risk
96,83,99,6,77,Good
69,53,53,5,66,Average
63,66,61,5,73,Average
97,85,78,10,83,Good
55,40,48,1,42,At Risk
94,90,95,9,86,Good
67,62,62,4,65,Average
85,79,75,8,97,Good
83,94,76,10,76,Good
80,79,93,5,76,Good
76,55,60,4,52,Average
54,45,45,1,37,At Risk
43,31,39,1,38,At Risk
